city,city_ascii,region_id,lat,lng,population,density,id
Cottage Grove,Cottage Grove,TN,36.3783,-88.4786,68,123.1,1840016073
Washita,Washita,OK,35.1043,-98.3414,68,51.1,1840096543
Spring Hill,Spring Hill,IA,41.4122,-93.6501,68,64.8,1840009281
Foxholm,Foxholm,ND,48.3654,-101.5721,68,8.9,1840023761
Symerton,Symerton,IL,41.3256,-88.053,68,184.7,1840011498
Campo Bonito,Campo Bonito,AZ,32.5629,-110.6984,68,5.7,1840027939
Hartville,Hartville,WY,42.3277,-104.7245,68,45.4,1840021308
Tightwad,Tightwad,MO,38.3096,-93.5466,68,31,1840012894
Basco,Basco,IL,40.3278,-91.1996,68,77.5,1840012101
Paac Ciinak,Paac Ciinak,WI,44.8579,-89.155,68,29,1840153098
Mountain View,Mountain View,NM,35.0046,-108.3979,68,12.9,1840153135
Solen,Solen,ND,46.3873,-100.7958,67,121.8,1840001968
Oberon,Oberon,ND,47.9242,-99.2059,67,131,1840000093
Truxton,Truxton,AZ,35.487,-113.5607,67,8.7,1840023186
Pinehaven,Pinehaven,NM,35.3357,-108.671,67,7.4,1840082634
La Clede,La Clede,IL,38.8806,-88.7128,67,124.3,1840029768
Equality,Equality,AL,32.7634,-86.106,67,5.6,1840041100
Hartwell,Hartwell,MO,38.4331,-93.9342,67,80.5,1840025664
Marrowbone,Marrowbone,KY,36.832,-85.5053,67,30.9,1840026923
Regina,Regina,NM,36.1947,-106.9453,67,3.8,1840019066
Vermillion,Vermillion,KS,39.7183,-96.2659,67,101.8,1840010551
Chelsea,Chelsea,SD,45.1675,-98.7434,67,8.1,1840000282
Otter Lake,Otter Lake,NY,43.5942,-75.1159,67,61.3,1840084880
Keenes,Keenes,IL,38.3386,-88.6419,67,78.7,1840012885
Staint Clair,Staint Clair,PA,40.4786,-78.2284,67,34.8,1840148021
Antietam,Antietam,MD,39.4151,-77.7364,67,66.7,1840024385
Dayton,Dayton,AL,32.351,-87.6416,67,21.3,1840016995
Gulkana,Gulkana,AK,62.2155,-145.4449,67,0,1840023388
McKinnon,McKinnon,WY,41.0314,-109.9384,67,4.3,1840017464
New Market,New Market,MO,39.5019,-94.7995,67,55.2,1840076431
Carrick,Carrick,CA,41.4467,-122.3635,67,266.3,1840028338
Batesville,Batesville,OH,39.9156,-81.2824,67,80.5,1840012463
Oldtown,Oldtown,MD,39.545,-78.6148,67,65.1,1840024432
Webster,Webster,PA,40.1878,-79.8489,67,51.2,1840026434
Fontanelle,Fontanelle,NE,41.5383,-96.4271,67,66.9,1840024138
Rampart,Rampart,AK,65.4087,-149.9915,67,0,1840023438
Gulf,Gulf,NC,35.5597,-79.2805,67,45,1840025793
Hebgen Lake Estates,Hebgen Lake Estates,MT,44.7692,-111.1905,66,95.7,1840039679
Miami,Miami,MO,39.3224,-93.2258,66,70.5,1840008510
Orient,Orient,WA,48.8637,-118.2059,66,73.3,1840025243
Moffett,Moffett,OK,35.4059,-94.4552,66,35.8,1840022737
Tindall,Tindall,MO,40.1609,-93.6096,66,56.2,1840010492
Anthonyville,Anthonyville,AR,35.0398,-90.3403,66,160.6,1840015446
Fairfield,Fairfield,UT,40.2462,-112.0842,66,1.2,1840021401
Strandburg,Strandburg,SD,45.0441,-96.7604,66,104.9,1840001586
Unity Village,Unity Village,MO,38.9525,-94.3995,66,17.2,1840012728
Point of Rocks,Point of Rocks,WY,41.6831,-108.7755,66,10.3,1840038381
Mercer,Mercer,TN,35.4745,-89.0394,66,17.7,1840036070
Jennette,Jennette,AR,35.1639,-90.4092,66,10.4,1840016381
Smith Village,Smith Village,OK,35.4508,-97.457,66,2118.6,1840022733
Emelle,Emelle,AL,32.7287,-88.3165,66,33.8,1840016948
